"UnitCode","Year","Visits"
"APIS",2015,2275949
"APIS",2016,1923761
"APIS",2017,2001441
"APIS",2018,2195334
"APIS",2019,2100663
"APIS",2020,1483714
"APIS",2021,2580480
"APIS",2022,2232530
"APIS",2023,2253432
"APIS",2024,2239842
"ARCH",1979,4311833
"ARCH",1980,4474045
"ARCH",1981,4972575
"ARCH",1982,4923671
"ARCH",1983,4155999
"ARCH",1984,4526930
"ARCH",1985,5033369
"ARCH",1986,5751987
"ARCH",1987,6078518
"ARCH",1988,6797017
"ARCH",1989,7047899
"ARCH",1990,7923144
"ARCH",1991,8591533
"ARCH",1992,9355818
"ARCH",1993,8701902
"ARCH",1994,8858126
"ARCH",1995,9264948
"ARCH",1996,9171043
"ARCH",1997,9284981
"ARCH",1998,9239084
"ARCH",1999,9456106
"ARCH",2000,8620358
"ARCH",2001,8420067
"ARCH",2002,8541202
"ARCH",2003,8334084
"ARCH",2004,8328134
"ARCH",2005,8929114
"ARCH",2006,9302616
"ARCH",2007,9465152
"ARCH",2008,10016898
"ARCH",2009,10731059
"ARCH",2010,10509968
"ARCH",2011,10914627
"ARCH",2012,11077664
"ARCH",2013,11171644
"ARCH",2014,12717892
"ARCH",2015,13784424
"ARCH",2016,15424312
"ARCH",2017,12430294
"ARCH",2018,15251277
"ARCH",2019,15256665
"ARCH",2020,11122771
"ARCH",2021,16258230
"ARCH",2022,13869592
"ARCH",2023,14009291
"ARCH",2024,22702424
"ARHO",1979,1378036
"ARHO",1980,1445090
"ARHO",1981,1009782
"ARHO",1982,1535942
"ARHO",1983,1544586
"ARHO",1984,1898238
"ARHO",1985,1490538
"ARHO",1986,1464076
"ARHO",1987,1443360
"ARHO",1988,1479092
"ARHO",1989,1360926
"ARHO",1990,1390402
"ARHO",1991,1450324
"ARHO",1992,1378992
"ARHO",1993,1489594
"ARHO",1994,1482158
"ARHO",1995,1678534
"ARHO",1996,1227446
"ARHO",1997,1285052
"ARHO",1998,1533608
"ARHO",1999,1430742
"ARHO",2000,1131044
