V1,V2,V3
Q13.9_6,"housing_insecurity - Stayed temporarily with a friend or acquaintance while looking for housing (""couch surfed"")","{""ImportId"":""QID483"",""choiceId"":""6""}"
Q13.9_7,housing_insecurity - Did not have a home,"{""ImportId"":""QID483"",""choiceId"":""7""}"
Q13.9_9,housing_insecurity - Slept outside (non-recreationally),"{""ImportId"":""QID483"",""choiceId"":""9""}"
Q13.9_10,housing_insecurity - None of these happened to me,"{""ImportId"":""QID483"",""choiceId"":""10""}"
Q13.10_1,housing_problems - Expensive rent/mortgage,"{""ImportId"":""QID486"",""choiceId"":""1""}"
Q13.10_2,housing_problems - No in-unit kitchen,"{""ImportId"":""QID486"",""choiceId"":""2""}"
Q13.10_3,housing_problems - No in-unit washer and dryer,"{""ImportId"":""QID486"",""choiceId"":""3""}"
Q13.10_4,housing_problems - Difficult to find parking,"{""ImportId"":""QID486"",""choiceId"":""4""}"
Q13.10_5,"housing_problems - Unaddressed pest issues (e.g. mold, bugs)","{""ImportId"":""QID486"",""choiceId"":""5""}"
Q13.10_6,"housing_problems - Unaddressed maintenance issues (e.g. broken heat, plumbing, electrical)","{""ImportId"":""QID486"",""choiceId"":""6""}"
Q13.10_7,housing_problems - Poor treatment by landlord/leasing company,"{""ImportId"":""QID486"",""choiceId"":""7""}"
Q13.10_8,housing_problems - Poor lease terms,"{""ImportId"":""QID486"",""choiceId"":""8""}"
Q13.10_9,"housing_problems - Neighborhood concerns (e.g. noise, crime, safety)","{""ImportId"":""QID486"",""choiceId"":""9""}"
Q13.10_10,housing_problems - Safety concerns with structure,"{""ImportId"":""QID486"",""choiceId"":""10""}"
Q13.10_11,housing_problems - Overcrowding or sharing bedrooms,"{""ImportId"":""QID486"",""choiceId"":""11""}"
Q13.10_12,housing_problems - Too far from campus,"{""ImportId"":""QID486"",""choiceId"":""12""}"
Q13.10_13,"housing_problems - Too far from amenities (e.g. shopping, entertainment)","{""ImportId"":""QID486"",""choiceId"":""13""}"
Q13.10_14,housing_problems - No pets allowed,"{""ImportId"":""QID486"",""choiceId"":""14""}"
Q13.10_15,housing_problems - Overly restrictive rules,"{""ImportId"":""QID486"",""choiceId"":""15""}"
Q13.10_16,housing_problems - Poor access to transit,"{""ImportId"":""QID486"",""choiceId"":""16""}"
Q13.10_17,housing_problems - Too far from public schools,"{""ImportId"":""QID486"",""choiceId"":""17""}"
Q13.10_18,housing_problems - Too far from parks and green spaces,"{""ImportId"":""QID486"",""choiceId"":""18""}"
Q13.10_19,housing_problems - Could not choose my housemates/roommates,"{""ImportId"":""QID486"",""choiceId"":""19""}"
Q13.10_20,housing_problems - Conflict with housemates/roommates,"{""ImportId"":""QID486"",""choiceId"":""20""}"
Q13.10_22,housing_problems - I experience none of these,"{""ImportId"":""QID486"",""choiceId"":""22""}"
Q53_19,attitudes_travel - Traveling to campus stresses me out.,"{""ImportId"":""QID49_19""}"
Q53_2,attitudes_travel - I like riding a bike.,"{""ImportId"":""QID49_2""}"
Q93_36,attitudes_travel - I feel safe traveling to campus.,"{""ImportId"":""QID49_36""}"
Q53_12,attitudes_travel - I feel safe walking or using a wheelchair on campus.,"{""ImportId"":""QID49_13""}"
Q53_10,attitudes_travel - I feel safe biking on campus.,"{""ImportId"":""QID49_11""}"
Q53_35,attitudes_travel - My commute is expensive.,"{""ImportId"":""QID49_35""}"
Q14.2,attitudes_unitrans - Selected Choice,"{""ImportId"":""QID487""}"
Q14.2_6_TEXT,attitudes_unitrans - Other: - Text,"{""ImportId"":""QID487_6_TEXT""}"
Q14.3_1,attitudes_unitrans_importance - Selected Choice - My bus picking me up at its scheduled time,"{""ImportId"":""QID488"",""choiceId"":""1""}"
Q14.3_5,attitudes_unitrans_importance - Selected Choice - My bus arriving to campus on time,"{""ImportId"":""QID488"",""choiceId"":""5""}"
Q14.3_2,attitudes_unitrans_importance - Selected Choice - Having enough space on the bus when it gets to my stop,"{""ImportId"":""QID488"",""choiceId"":""2""}"
Q14.3_3,attitudes_unitrans_importance - Selected Choice - Not being harassed on the bus,"{""ImportId"":""QID488"",""choiceId"":""3""}"
Q14.3_4,attitudes_unitrans_importance - Selected Choice - Buses running frequently enough that I don't have to know the schedule,"{""ImportId"":""QID488"",""choiceId"":""4""}"
Q14.3_7,attitudes_unitrans_importance - Selected Choice - Bus stops near my home and where I need to go,"{""ImportId"":""QID488"",""choiceId"":""7""}"
Q14.3_9,attitudes_unitrans_importance - Selected Choice - Convenience of paying the fare,"{""ImportId"":""QID488"",""choiceId"":""9""}"
Q14.3_10,attitudes_unitrans_importance - Selected Choice - Being able to sit down on the bus,"{""ImportId"":""QID488"",""choiceId"":""10""}"
Q14.3_11,attitudes_unitrans_importance - Selected Choice - Ability to work on the bus,"{""ImportId"":""QID488"",""choiceId"":""11""}"
Q14.3_8,attitudes_unitrans_importance - Selected Choice - Other:,"{""ImportId"":""QID488"",""choiceId"":""8""}"
Q14.3_8_TEXT,attitudes_unitrans_importance - Other: - Text,"{""ImportId"":""QID488_8_TEXT""}"
Q14.4,attitudes_bike_ability,"{""ImportId"":""QID50""}"
Q14.5,attitudes_bike_comfort,"{""ImportId"":""QID51""}"
Q15.1,spin_awareness,"{""ImportId"":""QID662""}"
Q15.2_1,"spin_not_used - Selected Choice - I have my own bike, e-bike, or e-scooter","{""ImportId"":""QID669"",""choiceId"":""1""}"
